time,x,y
8.961792358471694087e-01,8.955403066842352544e+00,3.031821199097878505e+00
9.121824364872974655e-01,9.124558917851196327e+00,2.894320478167446087e+00
9.281856371274255224e-01,9.295987231791450256e+00,2.887168344434247746e+00
9.441888377675534683e-01,9.406540214396203581e+00,2.835475622162742848e+00
9.601920384076815251e-01,9.547380245894721895e+00,2.753228606186512550e+00
9.761952390478095820e-01,9.659564762875522348e+00,2.580617414914308849e+00
9.921984396879376389e-01,9.800858985087693043e+00,2.561302830385466134e+00
1.008201640328065585e+00,9.892245399540735562e+00,2.567202540195932858e+00
1.024204840968193642e+00,1.009457120059442481e+01,2.463793803926870307e+00
1.040208041608321698e+00,1.023420454852646699e+01,2.496071882018086718e+00
1.056211242248449755e+00,1.047127184096230579e+01,2.522400370826677118e+00
1.072214442888577812e+00,1.062313312774272411e+01,2.488189021818491220e+00
1.088217643528705647e+00,1.086780835065485995e+01,2.479589266031928751e+00
1.104220844168833704e+00,1.085652790581191240e+01,2.475673620217360593e+00
1.120224044808961761e+00,1.117194548163325862e+01,2.433811055239332166e+00
1.136227245449089818e+00,1.135659589283507032e+01,2.436459718106978034e+00
1.152230446089217875e+00,1.153978097761420862e+01,2.410527154305445396e+00
1.168233646729345931e+00,1.161699697738512249e+01,2.440810765480349254e+00
1.184236847369473988e+00,1.186241867284108054e+01,2.524910800234888786e+00
1.200240048009601823e+00,1.208069353584428107e+01,2.506866436771037154e+00
1.216243248649729880e+00,1.224689552541012638e+01,2.516432325439830642e+00
1.232246449289857937e+00,1.248445331756572330e+01,2.514841980059392412e+00
1.248249649929985994e+00,1.269679989543956822e+01,2.639282203075000943e+00
1.264252850570114051e+00,1.281984877287926317e+01,2.589014761058177960e+00
1.280256051210242108e+00,1.310231174739994842e+01,2.767864281918920533e+00
1.296259251850370164e+00,1.324734025155073169e+01,2.854910553461711409e+00
1.312262452490497999e+00,1.356096383730263355e+01,2.959120079499424794e+00
1.328265653130626056e+00,1.366928957533764333e+01,2.993911706394515537e+00
1.344268853770754113e+00,1.393999041621179025e+01,3.233500729110941663e+00
1.360272054410882170e+00,1.410072216395184341e+01,3.323123260029677173e+00
1.376275255051010227e+00,1.427919277705914425e+01,3.487309555809375183e+00
1.392278455691138284e+00,1.444528084195218121e+01,3.625355245684322547e+00
1.408281656331266340e+00,1.451640419716712493e+01,3.866174497541439603e+00
1.424284856971394175e+00,1.466187700420719686e+01,4.003558149580443981e+00
1.440288057611522232e+00,1.490870366391045820e+01,4.184880418959899373e+00
1.456291258251650289e+00,1.510029840685804281e+01,4.470788350686465407e+00
1.472294458891778346e+00,1.518745468899619411e+01,4.774611995935762465e+00
1.488297659531906403e+00,1.531251932345317357e+01,5.111656665626376217e+00
1.504300860172034460e+00,1.546674246613352288e+01,5.339564351226284700e+00
1.520304060812162517e+00,1.544886503484177709e+01,5.648083770716133323e+00
1.536307261452290351e+00,1.567968514369552935e+01,6.091731873006716924e+00
1.552310462092418408e+00,1.567104946181065905e+01,6.589070433593860798e+00
1.568313662732546465e+00,1.565976104617332432e+01,6.923059014927368082e+00
1.584316863372674522e+00,1.571601542410217789e+01,7.460384146930081783e+00
1.600320064012802579e+00,1.569755123974631239e+01,7.912361983881130989e+00
1.616323264652930636e+00,1.561520764837434427e+01,8.523960081598911387e+00
1.632326465293058693e+00,1.567256325871142764e+01,9.039028085273381308e+00
1.648329665933186750e+00,1.554777993145975579e+01,9.601827920700312546e+00
1.664332866573314584e+00,1.539341819200437911e+01,1.036306002125798464e+01
1.680336067213442641e+00,1.527086631297731856e+01,1.105665138830427985e+01
1.696339267853570698e+00,1.504155163970851916e+01,1.162990104019824500e+01
1.712342468493698755e+00,1.485865072701361100e+01,1.229348534348747712e+01
1.728345669133826812e+00,1.462778050203794322e+01,1.289659165163993215e+01
1.744348869773954869e+00,1.431864015216336661e+01,1.372244624695478876e+01
